effect,term,estimate,std.error,df,statistic,p.value,iteration,seed,warnings,errors
fixed,a.regionoccipital,0.2360458978609913,0.01165980357841031,2718,20.244414605582374,5.412825958763682e-85,2,2,,
fixed,a.regionparietal,-0.058105675300921984,0.011659803578410063,2718,-4.983418023311616,6.639107445735845e-7,2,2,,
fixed,a.Spell_grouplow,0.16563872179958528,0.16463392041956232,296,1.006103246387271,0.31518765193878123,2,2,,
fixed,a.hemisphereleft:regioncentral,0.009260613539612635,0.011659803578410066,2718,0.7942340947115178,0.427128501197676,2,2,,
fixed,a.hemisphereleft:regionfrontal,-8.429706265598271e-4,0.011659803578410073,2718,-0.07229715499845275,0.9423707481341355,2,2,,
fixed,a.hemisphereleft:regionoccipital,0.002870870863466145,0.01165980357841001,2718,0.2462194876749057,0.805530922989585,2,2,,
fixed,a.hemisphereleft:regionparietal,-0.06581105778465471,0.011659803578410111,2718,-5.644268133857231,1.830351958270044e-8,2,2,,
fixed,b.(Intercept),-0.09094092758136808,0.032486893557792114,296,-2.7993112797808744,0.005457644955604947,2,2,,
fixed,b.Spell_grouplow,-0.07644784746842105,0.06571059054793309,296,-1.1634022283311485,0.24560332433171014,2,2,,
fixed,xs.(Intercept),12.183758055873088,3.8226376014162864,296,3.1872647439451254,0.0015898940199461557,2,2,,
fixed,xs.Spell_grouplow,-0.3269742795856685,5.61462056300183,296,-0.05823622022480059,0.9535997645177856,2,2,,
random,intercepts,0.4376762,NA,NA,NA,NA,2,2,,
random,residuals,0.3200611,NA,NA,NA,NA,2,2,,
fixed,a.(Intercept),1.8460089717985864,0.07124521191590166,2718,25.910639075333624,1.780541176934716e-132,3,3,,
fixed,a.SexM,-0.06805787430162068,0.05235496162749055,296,-1.299931700568468,0.19463574027489028,3,3,,
fixed,a.hemisphereleft,-0.002956019774867924,0.005640773167917414,2718,-0.5240451418398895,0.6002898716223586,3,3,,
fixed,a.regioncentral,-0.5992115438912597,0.01128154633583447,2718,-53.11430951517139,0,3,3,,
fixed,a.regionfrontal,0.14515378649732624,0.011281546335834499,2718,12.866479663010592,8.072450984693285e-37,3,3,,
fixed,a.regionoccipital,0.25203527997833075,0.011281546335834737,2718,22.340490609675125,1.2293407679163914e-101,3,3,,
fixed,a.regionparietal,-0.05107205128498123,0.011281546335834705,2718,-4.52704352441083,6.238840623217352e-6,3,3,,
fixed,a.Spell_grouplow,0.20786122281650873,0.2070085492093775,296,1.0041190260517636,0.3161413791040807,3,3,,
fixed,a.hemisphereleft:regioncentral,0.008179791123229481,0.011281546335834582,2718,0.7250593916586843,0.468478010436297,3,3,,
fixed,a.hemisphereleft:regionfrontal,-0.002596136840078353,0.01128154633583469,2718,-0.2301224285036163,0.8180139543951116,3,3,,
fixed,a.hemisphereleft:regionoccipital,-0.003850820212746437,0.011281546335834579,2718,-0.3413379778013883,0.7328755456068958,3,3,,
fixed,a.hemisphereleft:regionparietal,-0.06630273225819089,0.011281546335834624,2718,-5.8770961253412,4.6843573826847595e-9,3,3,,
fixed,b.(Intercept),-0.05912019441623052,0.02309051750736375,296,-2.5603667998076105,0.010952442298763581,3,3,,
fixed,b.Spell_grouplow,-0.08038897303170355,0.06858660651706121,296,-1.1720797560046428,0.24210753246182906,3,3,,
fixed,xs.(Intercept),17.969850645233443,10.216402984168079,296,1.7589214788297358,0.07962407779856004,3,3,,
fixed,xs.Spell_grouplow,-3.120743551412894,11.952064559240368,296,-0.26110497780069203,0.7941931248193698,3,3,,
random,intercepts,0.4081988,NA,NA,NA,NA,3,3,,
random,residuals,0.3096779,NA,NA,NA,NA,3,3,,
fixed,a.(Intercept),1.8313925963975397,0.06777005040688637,2718,27.023627478539474,1.1615187128605531e-142,4,4,,
